Date,Activity,Distance (miles),Pace/Mile,Time,Heart Rate Avg
2024-06-22,Swim,0.25,44:27,0:11:03,N/A
2024-06-22,Ride,6.32,5:48,0:36:40,N/A
2024-06-21,Run,2.51,9:20,0:23:29,N/A
2024-06-19,Ride,16.11,4:59,1:20:31,N/A
2024-06-18,Run,2.23,8:57,0:19:58,N/A
2024-06-17,Swim,0.62,40:44,0:25:19,N/A
2024-06-15,Ride,3.54,5:38,0:19:57,N/A
2024-06-15,Run,3.03,10:15,0:31:03,N/A
2024-06-09,Hike,3.7,31:30,1:56:36,N/A
2024-06-08,Hike,4.06,18:22,1:14:38,N/A
2024-06-08,Hike,3.05,24:38,1:15:15,N/A
2024-06-01,Run,2.3,9:41,0:22:17,N/A
2024-05-25,Run,3.16,9:02,0:28:35,N/A
2024-05-18,Run,13.28,9:23,2:04:45,N/A
2024-05-17,Run,2.52,8:51,0:22:19,N/A
2024-05-09,Run,4.23,8:08,0:34:28,N/A
2024-05-08,Workout,0.0,N/A,0:01:38,N/A
2024-05-07,Run,4.42,8:54,0:39:23,N/A
2024-05-05,Run,6.66,8:54,0:59:16,N/A
2024-05-04,Ride,9.85,6:09,1:00:38,N/A
2024-05-02,Run,3.08,8:51,0:27:16,N/A
2024-04-29,Run,4.28,9:10,0:39:17,N/A
2024-04-24,Run,3.51,8:59,0:31:33,N/A
2024-04-21,Ride,19.92,4:23,1:27:26,N/A
2024-04-20,Run,6.08,9:24,0:57:09,N/A
2024-04-19,Run,3.01,8:44,0:26:17,N/A
2024-04-18,Run,3.34,8:58,0:30:01,N/A
2024-04-16,Run,4.21,8:39,0:36:25,N/A
2024-04-15,Ride,4.74,5:26,0:25:47,N/A
2024-04-14,Run,4.01,9:01,0:36:09,N/A
2024-04-13,Ride,18.08,4:33,1:22:33,N/A
2024-04-11,Run,4.3,8:37,0:37:07,N/A
2024-04-09,Run,4.0,9:11,0:36:46,N/A
2024-04-07,Ride,15.43,4:53,1:15:34,N/A
2024-04-06,Ride,13.14,4:50,1:03:32,N/A
2024-04-05,Ride,4.79,4:50,0:23:14,N/A
2024-04-04,Run,4.39,8:24,0:36:55,N/A
2024-04-02,Run,4.32,9:18,0:40:12,N/A
2024-03-29,Ride,8.34,4:58,0:41:28,N/A
2024-03-26,Run,4.33,9:14,0:40:03,N/A
